Input_param_category,Parameter_label,Modelled_value,Brief_parameter_description
Population,p_male,0.482,% of those initially contacted who are men
Population,pop_age_mean,61.939,Age distribution (truncated normal) location
Population,pop_age_sd,9,Age distribution (truncated normal) scale
Population,pop_age_LL,0.22,"Lower age limit of whole population, applied as boundary of entry age distribution"
Population,pop_age_UL,0.978,"Upper age limit of whole population, applied as boundary of entry age distribution"
Access,p_respond,0.508,% of those initially contacted who get risk assessment
Access,p_join,0.836,% of those eligible for screening who join
Natural history,nh_entry_nsclc_plco,0.885,Effect of PLCO on NSCLC prevalence
Natural history,nh_entry_nsclc_IA1_int,-7.128,Baseline prevalence of stage IA1 NSCLC*
Natural history,nh_entry_nsclc_IA2_int,-5.663,Baseline prevalence of stage IA2 NSCLC*
Natural history,nh_entry_nsclc_IA3_int,-6.925,Baseline prevalence of stage IA3 NSCLC*
Natural history,nh_entry_nsclc_IB_int,-11.178,Baseline prevalence of stage IB NSCLC*
Natural history,nh_entry_nsclc_II_int,-6.839,Baseline prevalence of stage II NSCLC*
Natural history,nh_entry_nsclc_III_int,-6.563,Baseline prevalence of stage III NSCLC*
Natural history,nh_entry_nsclc_IV_int,-7.163,Baseline prevalence of stage IV NSCLC*
Natural history,nh_entry_sclc_plco,0.93,Effect of PLCO on SCLC prevalence
Natural history,nh_entry_sclc_lim_int,-7.794,Baseline prevalence of Limited SCLC*
Natural history,nh_entry_sclc_ext_int,-8.259,Baseline prevalence of Extensive SCLC*
Natural history,nh_post_inc_nsclc_c,-5.572,Average NSCLC incidence (median PLCO in NLST)*
Natural history,nh_post_inc_nsclc_m,0.839,Effect of PLCO on NSCLC incidence
Natural history,nh_post_inc_sclc_c,-7.486,Average SCLC incidence (median PLCO in NLST)*
Natural history,nh_post_inc_sclc_m,0.976,Effect of PLCO on SCLC incidence
Natural history,nh_prog_lambda_1,6.355,Rate of preclinical progression from Stage IA1 NSCLC to Stage IA2 NSCLC
Natural history,nh_prog_lambda_2,1.548,Rate of preclinical progression from Stage IA2 NSCLC to Stage IA3 NSCLC
Natural history,nh_prog_lambda_3,4.989,Rate of preclinical progression from Stage IA3 NSCLC to Stage IB NSCLC
Natural history,nh_prog_lambda_4,11.351,Rate of preclinical progression from Stage IB NSCLC to Stage II NSCLC
Natural history,nh_prog_lambda_5,3.109,Rate of preclinical progression from Stage II NSCLC to Stage III NSCLC
Natural history,nh_prog_lambda_6,1.095,Rate of preclinical progression from Stage III NSCLC to Stage IV NSCLC
Natural history,nh_prog_lambda_7,0.003,Rate of death from never-diagnosed Stage IV NSCLC
Natural history,nh_prog_xi_1,0.022,Rate of clinical presentation of preclinical Stage IA1 NSCLC
Natural history,nh_prog_xi_2,0.039,Rate of clinical presentation of preclinical Stage IA2 NSCLC
Natural history,nh_prog_xi_3,0.082,Rate of clinical presentation of preclinical Stage IA3 NSCLC
Natural history,nh_prog_xi_4,0.265,Rate of clinical presentation of preclinical Stage IB NSCLC
Natural history,nh_prog_xi_5,0.287,Rate of clinical presentation of preclinical Stage II NSCLC
Natural history,nh_prog_xi_6,0.47,Rate of clinical presentation of preclinical Stage III NSCLC
Natural history,nh_prog_xi_7,1.929,Rate of clinical presentation of preclinical Stage IV NSCLC
Natural history,nh_prog_mu_1,0.613,Rate of preclinical progression from Limited SCLC to Extensive SCLC
Natural history,nh_prog_mu_2,0.003,Rate of death from never-diagnosed Extensive SCLC
Natural history,nh_prog_phi_1,0.194,Rate of clinical presentation of preclinical Limited SCLC
Natural history,nh_prog_phi_2,2.097,Rate of clinical presentation of preclinical Extensive SCLC
Natural history,r_IF_NLST_mid_screening,0.002,Constant added to all cancer presentation rates
Natural history,nh_prog_re_sigma,0.932,Heterogeneity in NSCLC progression rates (log-normal) scale
Risk prediction,p_smk_c_m_55-64,0.131,"Proportion current smokers, males, aged 55-64"
Risk prediction,p_smk_c_m_65+,0.076,"Proportion current smokers, males, aged 65+"
Risk prediction,p_smk_c_f_55-64,0.114,"Proportion current smokers, females, aged 55-64"
Risk prediction,p_smk_c_f_65+,0.065,"Proportion current smokers, females, aged 65+"
Risk prediction,p_smk_f_m_55-64,0.334,"Proportion former smokers, males, aged 55-64"
Risk prediction,p_smk_f_m_65+,0.481,"Proportion former smokers, males, aged 65+"
Risk prediction,p_smk_f_f_55-64,0.276,"Proportion former smokers, females, aged 55-64"
Risk prediction,p_smk_f_f_65+,0.334,"Proportion former smokers, females, aged 65+"
