i_patient,j_no,U_State_NSCLC,U_State_SCLC,U_NH_acc_factor,U_Next_event1,U_Next_event2
1,1,0.502405405,0.128868739,0.163229822,0.485182994,0.383184005
1,2,0.28531657,0.783384924,0.993862329,0.19874067,0.655120325
1,3,0.168067392,0.041329813,0.136696869,0.93275476,0.168948104
1,4,0.867391594,0.289250736,0.145508077,0.838228087,0.267766969
1,5,0.357182673,0.750839191,0.14854335,0.250284337,0.532498811
1,6,0.970110242,0.137364476,0.926497135,0.058073386,0.727415864
1,7,0.722564878,0.560458837,0.731794655,0.077467096,0.189805233
1,8,0.323770596,0.346233975,0.415927132,0.817439656,0.725956698
1,9,0.07123624,0.864745273,0.576208959,0.109431154,0.057437086
1,10,0.035390071,0.012006361,0.332690536,0.923824383,0.458304054
2,1,0.429463457,0.619501036,0.797977446,0.94228171,0.182643694
2,2,0.532061256,0.466915882,0.154786299,0.783040122,0.36421346
2,3,0.362793297,0.846520738,0.293444481,0.443286388,0.864643644
2,4,0.552339667,0.447062199,0.787703204,0.109595904,0.800781653
2,5,0.180274638,0.900865593,0.283179085,0.324010568,0.391504189
2,6,0.335470581,0.799621088,0.48850388,0.445420317,0.189210437
2,7,0.63937916,0.969586042,0.038352101,0.979614903,0.326950011
2,8,0.563223375,0.001473759,0.865665187,0.610006068,0.81450049
2,9,0.549367185,0.555648094,0.347288336,0.499689701,0.486706866
2,10,0.859338217,0.656245124,0.418733914,0.167366793,0.363644312
3,1,0.687949102,0.33364715,0.462679434,0.67387208,0.560078389
3,2,0.091508294,0.293784501,0.327417696,0.618874992,0.85277222
3,3,0.64006106,0.579596196,0.660369294,0.536213143,0.954596987
3,4,0.299825599,0.762554895,0.725225741,0.294802157,0.919542852
3,5,0.60732773,0.415720162,0.208246424,0.967607695,0.459575241
3,6,0.1062483,0.356705131,0.507351801,0.524501051,0.648738423
3,7,0.466755411,0.279265449,0.041001552,0.928526752,0.638356747
3,8,0.170999754,0.297331987,0.971882541,0.29585721,0.717269353
3,9,0.949095351,0.203669986,0.004381651,0.589733456,0.402158923
3,10,0.655409286,0.959778981,0.853570831,0.335307647,0.250745899
4,1,0.268172762,0.465897826,0.186116537,0.345153675,0.373789326
4,2,0.308426632,0.675658093,0.639770212,0.608569016,0.196236665
4,3,0.901103264,0.558328069,0.031135921,0.947617731,0.895699768
4,4,0.619791066,0.010236215,0.46604825,0.98585766,0.178150794
4,5,0.188815041,0.808616071,0.254279711,0.705972482,0.037606365
4,6,0.652744705,0.426106067,0.29946542,0.771957525,0.379692131
4,7,0.804150613,0.607882911,0.962226774,0.556312708,0.429934622
4,8,0.93365306,0.509006366,0.365479689,0.366457199,0.863025886
4,9,0.867743835,0.485869593,0.730243765,0.198290525,0.197757239
4,10,0.308889097,0.114219057,0.701217508,0.257270633,0.210144804
5,1,0.959056751,0.343950081,0.733736102,0.093090653,0.89284838
5,2,0.835291717,0.36555009,0.624777171,0.578904638,0.922624344
5,3,0.714941612,0.246883675,0.970360612,0.224808707,0.821824746
5,4,0.611880747,0.207280689,0.518841104,0.409149308,0.165539978
5,5,0.760936616,0.598675154,0.52234064,0.243269112,0.119516921
5,6,0.172439708,0.401707433,0.460510377,0.303107681,0.455751921
5,7,0.759480304,0.474868995,0.696940855,0.348409721,0.930569695
5,8,0.651465164,0.954714336,0.006570047,0.407575961,0.94471597
5,9,0.050856645,0.957206676,0.477217394,0.187200329,0.871672151
5,10,0.193208359,0.943877054,0.486907782,0.097472492,0.976221199
6,1,0.444347099,0.548118704,0.376848357,0.544836688,0.166192073
6,2,0.907286466,0.172556288,0.390524193,0.327569389,0.631067846
6,3,0.634619789,0.937308338,0.776071413,0.607127617,0.414233108
6,4,0.065662466,0.476819243,0.982100088,0.184954813,0.756048686
6,5,0.054858349,0.498711621,0.287301691,0.266270303,0.590483956
6,6,0.036838019,0.173507501,0.9250225,0.734813399,0.718837308
6,7,0.467193036,0.533769212,0.617854251,0.079184012,0.646198657
6,8,0.365541562,0.443557521,0.027223935,0.508228043,0.197100315
6,9,0.75791373,0.420105856,0.793245791,0.5012236,0.332134591
6,10,0.751333101,0.200875099,0.544315165,0.729308545,0.977307753
7,1,0.096809637,0.08586932,0.702900019,0.577707252,0.114596491
