i_patient,j_no,U_PLCO,U_Age,U_Gender,U_Smoking,U_OCM,U_Start_state,U_State_NSCLC,U_State_SCLC,U_NH_acc_factor,U_Next_event2,U_LCM,U_Component,U_Risk_sample,U_Age_in,U_IMD,U_White,U_LHC,U_LDCT,U_Persist,U_Respond,U_Join
1,1,0.766087657,0.49758735,0.28891379,0.179522965,0.543715408,0.466246015,0.399862917,0.008947765,0.844089024,0.596279388,0.066988423,0.89554363,0.242596936,0.727705305,0.675176374,0.762493216,0.128265165,0.335700722,0.569735241,0.875250654,0.019012571
2,1,0.026765713,0.065036801,0.817193371,0.879378369,0.672436634,0.416034467,0.621223941,0.249078244,0.850648722,0.696105077,0.545416658,0.505284586,0.866874865,0.42339973,0.445918803,0.097229325,0.612114168,0.049402246,0.522441729,0.61989484,0.36094599
3,1,0.332702806,0.655779976,0.087505262,0.427599977,0.995356358,0.824133632,0.724090006,0.879699603,0.926362223,0.906259128,0.55014081,0.592589517,0.142582964,0.116859434,0.222041622,0.155558625,0.333305552,0.395717937,0.968415609,0.848804957,0.425746325
4,1,0.075709502,0.46470971,0.476913261,0.398430466,0.053961509,0.520064037,0.59021072,0.31621071,0.543170049,0.850957853,0.079773151,0.086021404,0.67942288,0.456277558,0.680480687,0.450919621,0.788427135,0.895652203,0.393816309,0.585087167,0.246623824
5,1,0.901335801,0.393710304,0.53743989,0.44314047,0.326731295,0.793025413,0.324884366,0.350552034,0.070839746,0.881799937,0.358308116,0.312700952,0.906075753,0.22584655,0.74242332,0.229909559,0.072361511,0.369391697,0.612069947,0.855656289,0.836438842
6,1,0.401600532,0.252842462,0.408778138,0.199902447,0.953772152,0.770782955,0.57821076,0.695822464,0.946036426,0.781119094,0.708818008,0.472475928,0.270488294,0.927028354,0.206591619,0.753153501,0.864411154,0.593191374,0.103462721,0.611666066,0.972022636
7,1,0.797658809,0.241116728,0.72437384,0.296071221,0.479712776,0.420512872,0.6026557,0.87710731,0.268774251,0.375394346,0.999198403,0.887003333,0.171857646,0.502672096,0.331875667,0.784940683,0.574958755,0.384576665,0.95450138,0.661857359,0.684497273
8,1,0.333520308,0.575663619,0.802413461,0.139043455,0.094266336,0.674910133,0.782440727,0.979146962,0.084450641,0.212769621,0.729684929,0.788848157,0.664744598,0.304555014,0.804113005,0.082858583,0.850356872,0.930215866,0.342623019,0.820663528,0.549442895
9,1,0.429528788,0.614693787,0.303195089,0.8475254,0.49854085,0.281102235,0.11577264,0.400339325,0.803297066,0.773627793,0.696946265,0.976532334,0.09429685,0.608874734,0.825416104,0.652527452,0.874534724,0.868059645,0.660936835,0.528608185,0.93018407
10,1,0.840979185,0.426399168,0.87415244,0.261894981,0.019977063,0.843195177,0.984317161,0.361983162,0.086763156,0.585417843,0.693626429,0.46358023,0.52643161,0.218029002,0.047202143,0.86576069,0.671855636,0.482613234,0.996558251,0.427759075,0.832729847
11,1,0.369001359,0.843614417,0.703249459,0.678909104,0.673306325,0.636786414,0.711336158,0.822676138,0.757799485,0.450295582,0.519544385,0.728720532,0.697622409,0.791115569,0.168086033,0.137322209,0.978794979,0.758599843,0.180842787,0.102235663,0.889369012
12,1,0.10945651,0.493759226,0.901131032,0.586103124,0.452127263,0.383809206,0.338355897,0.638380491,0.061457387,0.124915037,0.704967168,0.897773105,0.121748511,0.642857004,0.616842517,0.556138248,0.047753865,0.146315211,0.324298996,0.642116466,0.978264348
13,1,0.971741272,0.481393258,0.401884831,0.572327877,0.514319636,0.032296479,0.391476074,0.409627357,0.843227337,0.749982286,0.990630374,0.697783322,0.519092017,0.332212308,0.743374381,0.586960765,0.197264004,0.956621925,0.548214081,0.138306722,0.906526136
