i_patient,j_no,U_False_positive,U_Positive,U_Follow_up
1,1,0.911876546,0.023021267,0.283799666
1,2,0.329059359,0.412385593,0.078034509
1,3,0.902917226,0.959771696,0.201132271
1,4,0.798180111,0.675026527,0.755535445
1,5,0.097086915,0.797489807,0.415642227
1,6,0.313451098,0.626174811,0.46347465
1,7,0.619276627,0.186685248,0.064120124
1,8,0.030762378,0.388807137,0.154615507
1,9,0.087677173,0.511889403,0.634289364
1,10,0.473233436,0.4801125,0.319023289
1,11,0.661992174,0.473890996,0.843927311
1,12,0.906319241,0.976001482,0.565430485
1,13,0.296248643,0.132477803,0.49188592
1,14,0.4305272,0.036030836,0.74484375
1,15,0.073372799,0.423870156,0.571536178
1,16,0.191951269,0.409120452,0.242584813
1,17,0.95563857,0.338760602,0.010512998
1,18,0.240093452,0.946211339,0.943657796
1,19,0.110348766,0.922473904,0.845807372
1,20,0.853382812,0.785685482,0.95235175
1,21,0.084499941,0.632565183,0.067392231
1,22,0.521916361,0.990199333,0.749616448
1,23,0.916144493,0.335925158,0.337222876
1,24,0.140018041,0.019059781,0.677678538
1,25,0.94883171,0.144960968,0.556092765
1,26,0.266705053,0.634197709,0.192425191
2,1,0.220928414,0.666697145,0.477594731
2,2,0.154603365,0.59023584,0.0799878
2,3,0.859805933,0.087844463,0.694592783
2,4,0.352701037,0.741552732,0.62488368
2,5,0.226321727,0.727136267,0.659171003
2,6,0.731995847,0.088151761,0.47441405
2,7,0.404323973,0.569245516,0.574020482
2,8,0.510906345,0.805154357,0.415142292
2,9,0.390719918,0.178607238,0.391427299
2,10,0.470685798,0.504676129,0.411865021
2,11,0.87623602,0.586030614,0.355640724
2,12,0.134793866,0.429693722,0.367622341
2,13,0.587972614,0.85568887,0.731766642
2,14,0.714678441,0.871198017,0.091788528
2,15,0.395495905,0.503904341,0.616777268
2,16,0.918841839,0.485631676,0.203052488
2,17,0.754786707,0.127959548,0.026040565
2,18,0.141437927,0.074251971,0.227938141
2,19,0.198072205,0.066138238,0.955079418
2,20,0.067734549,0.950803291,0.980897756
2,21,0.792194362,0.313237053,0.696238562
2,22,0.289720674,0.669467577,0.278239965
2,23,0.971089659,0.176111229,0.095491557
2,24,0.779759027,0.326019148,0.103932597
2,25,0.975993691,0.639605904,0.808416325
2,26,0.165497483,0.51810454,0.182147353
3,1,0.986681348,0.088114671,0.808721133
3,2,0.565522354,0.32659622,0.4719774
3,3,0.963447027,0.452622172,0.407806018
3,4,0.489909063,0.275480549,0.278444899
3,5,0.451591739,0.155719256,0.017470723
3,6,0.476562825,0.852794345,0.834761162
3,7,0.946237783,0.188712667,0.748220523
3,8,0.28578706,0.960996469,0.020352394
3,9,0.189907054,0.737752194,0.705436256
3,10,0.043032204,0.797441869,0.754745685
3,11,0.483489194,0.680359192,0.383105708
3,12,0.671828775,0.584501776,0.593909987
3,13,0.159158287,0.594156247,0.620106276
3,14,0.598557594,0.601209057,0.007600793
3,15,0.059608847,0.106459008,0.698615935
3,16,0.606930385,0.28053446,0.474183104
3,17,0.000102375,0.950916878,0.37154819
3,18,0.88535025,0.12639128,0.312482597
3,19,0.4975761,0.15282897,0.617951175
3,20,0.766684022,0.000266917,0.940494332
3,21,0.913544126,0.038817198,0.049684345
3,22,0.486517215,0.054278118,0.518497434
3,23,0.53674847,0.737910991,0.092095062
3,24,0.661401563,0.032823687,0.569500247
3,25,0.913115943,0.82018576,0.038320603
3,26,0.646338416,0.514329035,0.443564212
4,1,0.234519339,0.867200335,0.048634401
4,2,0.922900359,0.404897138,0.829530563
4,3,0.843477935,0.209159138,0.504343288
4,4,0.576826834,0.717251962,0.816267783
4,5,0.89869678,0.299183016,0.1046827
4,6,0.14126745,0.54731751,0.884032258
4,7,0.618401086,0.183543946,0.568150581
4,8,0.086207934,0.497005172,0.108918397
4,9,0.045518983,0.39986251,0.173420334
4,10,0.061881154,0.23310906,0.160574162
4,11,0.993331926,0.871187422,0.207306299
4,12,0.597566294,0.513475631,0.257774393
4,13,0.078263494,0.364516301,0.069183682
4,14,0.024299493,0.121236721,0.430395229
